"Item","Plat","Status"
"Primed Chamber","114513","Offline"
"Lith W1 Exceptional","99998","Offline"
"Vay Hek Frequency Triangulator","999","Offline"
"Arcane Coil Mag Helmet","999","Online"
"Munitions Vortex","559","Online"
"Split Flights","500","Buying"
"Spectra Vandal Set","499","Online"
"Arcane Vanguard Rhino Helmet","448","Online"
"Helminth Ferocity","400","Buying"
"Corpus Void Key","399","Offline"
"Void Hole","384","Online"
"Arcane Pendragon Excalibur Helmet","374","Online"
"Arcane Squall Frost Helmet","299","Online"
"Axi E1 Flawless","299","Offline"
"Arcane Menticide Nyx Helmet","299","Online"
"Arcane Locust Ash Helmet","289","Online"
"Arcane Storm Volt Helmet","287","Online"
"Loki Prime Set","249","Online"
"Dog Days Scene","248","Online"
"Braton Vandal Set","248","Online"
"Arcane Swindle Loki Helmet","238","Online"
"Virtuos Forge","199","Online"
"Arcane Chorus Banshee Helmet","199","Online"
"Explosive Demise","199","Online"
"Primed Bane of Corpus","199","Online"
"Broken War Set","196","Online"
"Dual Kamas Prime Set","194","Online"
"Loki Prime Systems","189","Online"
"Aksomati Prime Set","188","Online"
"Inaros Tomb Scene","184","Online"
"Warhead (Zetki)","179","Online"
"Argon Scope","178","Online"
"Nekros Prime Set","177","Online"
"Arcane Vespa Nyx Helmet","174","Online"
"Braton Vandal Blueprint","174","Online"
"Volt Prime Set","169","Online"
"Primed Shotgun Ammo Mutation","164","Online"
"Arcane Aura Trinity Helmet","158","Online"
"Xiphos Set","150","Offline"
"Lua Madurai Lens","149","Online"
"Frost Prime Set","149","Online"
"Primed Smite Grineer","149","Online"
"Arcane Esprit Vauban Helmet","149","Online"
"Legendary Fusion Core","149","Online"
"Meso N1 Radiant","149","Offline"
"Ivara Prime Set","148","Online"
"Primed Smite Corrupted","144","Online"
"Lato Vandal Set","144","Online"
"Ember Prime Set","138","Online"
"Maiming Strike","138","Online"
"Baza Prime Set","138","Online"
"Lua Vazarin Lens","134","Online"
"Arcane Gauss Mag Helmet","134","Online"
"Rhino Prime Set","134","Online"
"Lua Zenurik Lens","129","Online"
"Magus Drive","129","Online"
"Magus Destruct","129","Online"
"Searing Steel","129","Online"
"Lua Naramon Lens","129","Online"
"Arcane Hemlock Saryn Helmet","128","Online"
"Primed Smite Corpus","124","Online"
"Arcane Energize","119","Online"
"Eidolon Unairu Lens","119","Online"
"Shedu Set","119","Online"
"Magus Accelerant","119","Online"
"Lua Unairu Lens","119","Online"
"Nova Prime Set","109","Online"
"Eidolon Zenurik Lens","109","Online"
"Neo S4 Intact","101","Buying"
"Primed Smite Infested","99","Online"
"Lunaro Arena Scene","99","Offline"
"Primed Pistol Mutation","99","Online"
"Winged Cyclone (Zetki)","99","Online"
"Tekko Prime Set","99","Online"
"Primed Expel Corpus","99","Online"
"Meticulous Aim","99","Online"
"Meso F3 Flawless","99","Offline"
"Bo Prime Set","99","Online"
"Axi N6 Exceptional","99","Offline"
"Frost Prime Blueprint","99","Online"
"Primed Bane of Corrupted","99","Online"
"Arcane Grace","99","Online"
"Sentient Fountain Scene","99","Online"
"Primed Bane of Grineer","99","Online"
"Nano-Applicator","99","Online"
"Arcane Chlora Saryn Helmet","99","Online"
"Vauban Prime Set","99","Online"
"Arcane Essence Loki Helmet","99","Online"
"Delta Beacon","99","Online"
"Trinity Prime Set","98","Online"
"Sabot Rounds","96","Online"
"Mag Prime Set","96","Online"
"Conic Nozzle (Zetki)","94","Online"
"Prisma Veritux","89","Online"
"Nova Prime Chassis","89","Online"
"Magus Glitch","89","Online"
"Hydroid Prime Set","89","Online"
"Saryn Prime Set","89","Online"
"Dual Kamas Prime Blade","89","Online"
"Arcane Phoenix Ember Helmet","89","Online"
"Arcane Meridian Trinity Helmet","89","Online"
"Venka Prime Set","89","Online"
"Glaive Prime Set","89","Online"
"Akvasto Prime Set","89","Online"
"Arcane Pulse Volt Helmet","89","Online"
"Oberon Prime Set","88","Online"
"Hydroid Prime Systems","86","Online"
"Wyrm Prime Set","84","Online"
"Eidolon Naramon Lens","84","Online"
"Spectra Vandal Chassis","83","Online"
"Xiphos Fuselage","79","Offline"
"Orokin Derelict Plaza Scene","79","Online"
"Bulkhead (Zetki)","79","Online"
"Soma Prime Set","79","Online"
"Blackout Pulse","79","Online"
"Reaper Prime Set","79","Online"
"Axi V8 Radiant","79","Offline"
"Spira Prime Set","79","Online"
"Cressa's Garrison Scene","78","Online"
"Exodia Valor","78","Online"
"Cetus Scene","78","Online"
"Mara Detron","74","Online"
"Eidolon Vazarin Lens","74","Online"
"Prisma Obex","74","Online"
"Prisma Skana","74","Online"
"Prova Vandal","74","Online"
"Eidolon Madurai Lens","74","Online"
"Prisma Gorgon","74","Online"
"Primed Expel Corrupted","74","Online"
"Oberon Prime Systems","74","Online"
"Primed Pack Leader","74","Online"
"Arcane Reverb Banshee Helmet","74","Online"
"Banshee Prime Set","73","Online"
"Nekros Prime Blueprint","73","Online"
"Vulkar Wraith","72","Online"
"Lato Vandal Barrel","69","Online"
"Singularity","69","Offline"
"Meso C1 Radiant","69","Online"
"Pathocyst Set","69","Online"
"Arcane Gambit Vauban Helmet","69","Online"
"Ankyros Prime Set","69","Online"
"Spectra Vandal Barrel","69","Online"
"Searing Leap","69","Offline"
"Venomous Rise","69","Offline"
"Atlas Prime Set","69","Online"
"Arcane Backdraft Ember Helmet","69","Online"
"Ash Prime Set","69","Online"
"Sapping Reach","69","Offline"
"Phaedra Set","69","Online"
"Shield Overload","69","Offline"
"Recover","69","Offline"
"Neo S4 Radiant","69","Buying"
"Primed Fast Hands","69","Online"
"Hysterical Fixation","69","Offline"
"Momentary Pause","69","Offline"
"Tear Gas","69","Offline"
"Neo S4 Exceptional","69","Buying"
"Jolt","69","Online"
"Nyx Prime Set","69","Online"
"Rime Vault","69","Offline"
"Vanquished Prey","69","Offline"
"Machete Wraith","69","Online"
"Neo S4 Flawless","69","Buying"
"Nami Skyla Prime Set","69","Online"
"Primed Fever Strike","69","Online"
"Primed Bane of Infested","68","Online"
"Amesha Systems","68","Offline"
"Amesha Wings","68","Offline"
"Primed Expel Grineer","68","Online"
"Amesha Harness","68","Offline"
"Primed Quickdraw","68","Online"
"Teshin's Refuge Scene","68","Offline"
"Valkyr Prime Set","68","Online"
"Kinetic Diversion","68","Online"
"Prisma Grinlok","66","Online"
"Baza Prime Stock","64","Online"
"Boar Prime Set","64","Online"
"Cyngas Set","64","Online"
"Primed Pistol Gambit","64","Online"
"High Voltage","64","Online"
"Prisma Tetra","64","Online"
"Prisma Angstrum","64","Online"
"Agkuza Set","64","Online"
"Predator (Zetki)","64","Online"
"Saryn Prime Chassis","64","Online"
"Weeping Wounds","64","Online"
"Primed Cryo Rounds","64","Online"
"Centaur Set","64","Online"
"Spectra Vandal Handle","64","Offline"
"Wolf Sledge Set","63","Online"
"Akstiletto Prime Set","63","Online"
"Astral Autopsy","63","Online"
"Prisma Dual Cleavers","59","Online"
"Dual Decurion Set","59","Online"
"Arcane Aurora Frost Helmet","59","Online"
"Mag Prime Blueprint","59","Online"
"Bullet Dance","59","Online"
"Axi L4 Radiant","59","Online"
"Velocitus Set","59","Online"
"Rhino Prime Blueprint","59","Online"
"Battle Stations","59","Online"
"Hull Weave (Zetki)","59","Online"
"Arcane Thrak Rhino Helmet","59","Online"
"Braton Vandal Stock","59","Online"
"Amesha Set","59","Online"
"Axi L4 Intact","59","Offline"
"Primed Flow","59","Online"
"Fluctus Set","59","Online"
"Prisma Twin Gremlins","59","Online"
"Primed Regen","59","Online"
"Sacrificial Pressure","59","Offline"
"Nekros Prime Systems","59","Online"
"Volt Prime Neuroptics","59","Online"
"Axi L1 Radiant","59","Online"
"Primed Target Cracker","59","Online"
"Lith N1 Radiant","59","Offline"
"Meso E1 Radiant","59","Online"
"Detect Vulnerability","58","Online"
"Spring-Loaded Blade","58","Online"
"Euphona Prime Receiver","58","Online"
"Sicarus Prime Set","58","Online"
"Neo N5 Radiant","54","Offline"
"Kronen Prime Set","54","Online"
"Lith F1 Radiant","54","Offline"
"Neo V1 Radiant","54","Offline"
"Ivara Prime Systems","54","Online"
"Plains of Eidolon Scene","54","Online"
"Prisma Grakata","54","Online"
"Primed Continuity","54","Online"
"Dethcube Prime Set","54","Online"
"Magma Chamber","54","Online"
"Neo B1 Radiant","54","Offline"
"Tigris Prime Set","53","Online"
"Euphona Prime Set","53","Online"
"Voltaic Strike","53","Online"
"Wukong Prime Set","51","Online"
"Signal Flare","50","Buying"
"Axi S1 Flawless","50","Offline"
"Spectra Vandal Blueprint","49","Offline"
"Odonata Prime Set","49","Online"
"Neo S11 Radiant","49","Offline"
"Meso F3 Radiant","49","Online"
"Neo S13 Exceptional","49","Offline"
"Elytron Set","49","Online"
"Secura Lecta","49","Online"
"Grineer Settlement Reactor Scene","49","Online"
"Latron Prime Set","49","Online"
"Axi C1 Radiant","49","Offline"
"Ventkids Clubhouse Scene","49","Online"
"Kuva Throne Scene","49","Online"
"Viper Wraith","49","Online"
"Sacrificial Steel","49","Offline"
"Strun Wraith Set","49","Online"
"Section Density (Vidar)","49","Online"
"Tigris Prime Blueprint","49","Online"
"Arch-gun Riven Mod (Veiled)","49","Online"
"Vectis Prime Set","49","Online"
"Ancient Fusion Core","49","Offline"
"Primed Reach","49","Online"
"Axi H1 Radiant","49","Offline"
"Recuperate","49","Offline"
"Neo S1 Intact","49","Online"
"Orokin Tower Extraction Scene","49","Offline"
"Aksomati Prime Link","49","Online"
"Axi V1 Radiant","49","Online"
"Anode Cell (Lavan)","49","Online"
"Helios Prime Cerebrum","49","Online"
"Neo N1 Radiant","49","Offline"
"Reawaken","49","Online"
"Helios Prime Set","49","Online"
"Primed Rifle Ammo Mutation","49","Online"
"Axi N5 Intact","49","Online"
"Narrow Barrel","49","Online"
"Hyperstrike (Zetki)","49","Online"
"Onkko's Command Post Scene","49","Online"
"Fulmination","48","Online"
"Mesa Prime Set","48","Online"
"Aklex Prime Set","48","Online"
"Nikana Prime Set","48","Online"
"Looter","48","Online"
"Ember Prime Blueprint","47","Online"
"Limbo Prime Set","47","Online"
"Health Conversion","47","Online"
"Melee Riven Mod (Veiled)","47","Online"
"Winged Storm (Lavan)","46","Offline"
"Dual Rounds","46","Online"
"Itzal Set","46","Online"
"Vigilante Supplies","46","Online"
"Power of Three","45","Buying"
"Stand Ground","45","Buying"
"Calculated Victory","45","Buying"
"Akvasto Prime Blueprint","44","Online"
"Condition Overload","44","Online"
"Aklex Prime Link","44","Online"
"Boltor Prime Set","44","Online"
"Heartseeker","44","Offline"
"Martial Fury","44","Offline"
"Broken War Blade","44","Online"
"Hyperflux (Zetki)","44","Online"
"Shell Shock","44","Online"
"Sword Alone","44","Offline"
"Supra Vandal","44","Online"
"Primed Animal Instinct","44","Online"
"Kaszas Set","44","Online"
"Kappa Beacon","44","Online"
"Critical Focus","44","Online"
"Imperator Vandal Set","44","Online"
"Energy Generator","44","Online"
"Shotgun Riven Mod (Veiled)","44","Online"
"Mirage Prime Set","44","Online"
"Vasto Prime Set","44","Online"
"Primed Heated Charge","44","Online"
"Onorix Set","44","Online"
"Neo V4 Radiant","44","Offline"
"Galatine Prime Blueprint","44","Online"
"Quick Charge","44","Offline"
"Meso S3 Radiant","44","Offline"
"Equinox Prime Set","44","Online"
"Axi N2 Radiant","44","Offline"
"Primed Charged Shell","44","Online"
"Ninkondi Prime Set","43","Online"
"Negate","43","Online"
"Antimatter Mine","42","Buying"
"Tipedo Prime Set","39","Online"
"Akjagara Prime Set","39","Online"
"Nyx Prime Neuroptics","39","Online"
"Primed Point Blank","39","Online"
"Pennant Blueprint","39","Online"
"Predator (Vidar)","39","Online"
"Cernos Prime Set","39","Online"
"Karak Wraith Set","39","Online"
"Primed Slip Magazine","39","Online"
"Meso M1 Radiant","39","Offline"
"Scimitar Set","39","Online"
"Overcharged","39","Offline"
"Ambush","39","Online"
"Neo R1 Flawless","39","Offline"
"Neo R1 Radiant","39","Online"
"Banshee Prime Systems","39","Online"
"Corvas Set","39","Online"
"Quanta Vandal","39","Online"
"Chroma Prime Set","39","Online"
"Sentient Concourse Scene","39","Offline"
"Neo G2 Radiant","39","Offline"
"Primed Expel Infested","39","Online"
"Sacrifice","39","Online"
"Axi N1 Radiant","39","Offline"
"Sancti Magistar","39","Online"
"Growing Power","39","Online"
"Hammer Shot","39","Online"
"Bulkhead (Vidar)","39","Online"
"Energy Conversion","39","Online"
"Neo B3 Intact","39","Online"
"Meso F2 Radiant","39","Offline"
"Arcane Flux Nova Helmet","39","Online"
"Lua Containment Scene","39","Offline"
"Meso F2 Exceptional","39","Offline"
"Chamber Of The Lotus Scene","39","Offline"
"Kogake Prime Set","39","Online"
"Akbolto Prime Set","39","Online"
"Telos Boltor","39","Online"
"Axi R1 Intact","39","Offline"
"Wolf Sledge Motor","38","Online"
"Pathocyst Blade","38","Online"
"Electrified Barrel","38","Online"
"Axi V9 Intact","38","Online"
"Axi K2 Radiant","38","Offline"
"Augur Secrets","38","Online"
"Lato Vandal Blueprint","38","Online"
"Silva & Aegis Prime Set","38","Online"
"Primed Pressure Point","38","Online"
"Hyperstrike (Vidar)","37","Online"
"Redeemer Prime Set","37","Online"
"Pressurized Magazine","37","Online"
"Twin Vipers Wraith Set","37","Online"
"Galatine Prime Set","37","Online"
"Tekko Prime Blade","36","Online"
"Volt Prime Chassis","34","Online"
"Rathbone Set","34","Online"
"Strun Wraith Blueprint","34","Online"
"Valkyr Prime Chassis","34","Online"
"Gladiator Vice","34","Online"
"Venka Prime Gauntlet","34","Online"
"Bo Prime Ornament","34","Online"
"Axi V4 Radiant","34","Offline"
"Meso V3 Radiant","34","Offline"
"Telos Boltace","34","Online"
"Synoid Heliocor","34","Online"
"Neo A1 Radiant","34","Offline"
"Synoid Gammacor","34","Online"
"Nekros Prime Neuroptics","34","Online"
"Carrier Prime Set","34","Online"
"Energy Amplifier","34","Online"
"Harrow's Temple Scene","34","Online"
"Color Key Scene","34","Offline"
"Amaryn's Retreat Scene","34","Online"
"Empowered Blades","34","Online"
"Ergo's Boardroom Scene","34","Online"
"Quick Reload","34","Offline"
"Sanctuary Conduit Scene","34","Online"
"Vengeful Revenant","34","Online"
"Out Of Sight","34","Online"
"Grineer Shipyards Manufactory Scene","34","Online"
"Corpus Gas City Conduit Scene","34","Online"
"Axi S2 Radiant","34","Online"
"Veil's Binding Scene","34","Online"
"Rakta Cernos","34","Online"
"Ion Burn (Lavan)","34","Online"
"Medi-Ray","34","Online"
"Scindo Prime Set","34","Online"
"Xiphos Avionics","34","Online"
"Meso S4 Radiant","34","Offline"
"Axi B1 Radiant","34","Offline"
"Shell Rush","34","Online"
"Meso S2 Radiant","34","Offline"
"Axi O1 Radiant","34","Offline"
"Mycona Colony Scene","34","Online"
"Silver Grove Shrine Scene","34","Online"
"Hunhow's Chamber Scene","34","Online"
"Boar Prime Stock","34","Online"
"Rakta Dark Dagger","33","Online"
"Secura Penta","33","Online"
"Neo G1 Radiant","33","Offline"
"Rakta Ballistica","33","Online"
"Secura Dual Cestra","33","Online"
"Wolf Sledge Blueprint","33","Online"
"Vauban Prime Systems","33","Online"
"Dakra Prime Set","33","Online"
"Sancti Castanas","32","Online"
"Sicarus Prime Receiver","32","Online"
"Reaper Prime Handle","32","Online"
"Blaze","31","Online"
"Ripper Rounds","30","Buying"
"Zephyr Prime Set","29","Online"
"Infested Ship Bridge Scene","29","Online"
"Shedu Chassis","29","Online"
"Neo K1 Radiant","29","Offline"
"Ballistica Prime Set","29","Online"
"Shedu Receiver","29","Online"
"Piercing Caliber","29","Online"
"Sheev Set","29","Online"
"Overcharge Detectors","29","Offline"
"Meso D1 Intact","29","Online"
"Soma Prime Stock","29","Online"
"Corpus Ice Planet Wreckage Scene","29","Offline"
"Winged Cyclone (Lavan)","29","Offline"
"Suda's Datascape Scene","29","Offline"
"Axi A1 Radiant","29","Offline"
"Telos Akbolto","29","Online"
"Arcane Avalon Excalibur Helmet","29","Online"
"Relentless Assault","29","Offline"
"Neo S5 Radiant","29","Offline"
"Sybaris Prime Set","29","Online"
"Maxima (Zetki)","29","Online"
"Nikana Prime Hilt","29","Online"
"Boltor Prime Blueprint","29","Online"
"Kavasa Prime Collar Set","29","Online"
"Meso F3 Intact","29","Online"
"Axi N2 Exceptional","29","Offline"
"Axi L1 Intact","29","Offline"
"Lith G2 Radiant","29","Offline"
"Xiphos Engines","29","Online"
"Glaive Prime Blueprint","29","Online"
"Final Act","29","Online"
"Voltaic Lance","29","Offline"
"Fiery Phoenix","29","Online"
"Neo T1 Radiant","29","Offline"
"Lith S3 Radiant","29","Offline"
"Blood for Energy","29","Online"
"Neo T2 Radiant","29","Offline"
"Rifle Riven Mod (Veiled)","29","Online"
"Axi V2 Exceptional","29","Offline"
"Wyrm Prime Carapace","29","Online"
"Speed Holster","29","Online"
"Redeemer Prime Handle","29","Online"
"Neo A3 Radiant","29","Offline"
"Primed Morphic Transformer","29","Online"
"Axi V8 Intact","29","Offline"
"Latron Wraith Set","29","Online"
"Axi A1 Exceptional","29","Offline"
"Neo N2 Radiant","29","Offline"
"Primed Ravage","29","Online"
"Vaykor Sydon","29","Online"
"Aerodynamic","29","Online"
"Ivara Prime Chassis","29","Online"
"Smeeta Kavat Imprint","29","Online"
"Companion Rifle Riven Mod (Veiled)","29","Online"
"Atlas Prime Neuroptics","29","Online"
"Limbo Prime Chassis","29","Online"
"Sancti Tigris","29","Online"
"Mirage Prime Blueprint","29","Online"
"Deceptive Bond","29","Offline"
"Ablative Shell (Vidar)","28","Online"
"Vauban Prime Neuroptics","28","Online"
"Elytron Wings","28","Offline"
"Zhuge Prime Set","28","Online"
"Electro Pulse","28","Online"
"Volt Prime Blueprint","28","Online"
"Power Donation","28","Online"
"Shedu Handle","28","Online"
"Shock Collar","27","Online"
"Rhino Prime Chassis","27","Online"
"Winged Storm (Zetki)","26","Online"
"Wukong Prime Systems","26","Online"
"Trinity Prime Blueprint","26","Online"
"Shedu Barrel","26","Online"
"Prism Guard","25","Buying"
"Recharge Barrier","25","Buying"
"Purging Slash","25","Buying"
"Rumbled","25","Buying"
"Defiled Reckoning","25","Buying"
"Push & Pull","25","Buying"
"Axi L1 Exceptional","25","Buying"
"Ward Recovery","25","Buying"
"Prize Kill","25","Buying"
"Discharge Strike","25","Buying"
"Purifying Flames","25","Buying"
"Countermeasures","24","Online"
"Rhino Prime Neuroptics","24","Online"
"Anticipation","24","Offline"
"Odomedic","24","Online"
"Axi G1 Radiant","24","Offline"
"Neo V8 Radiant","24","Online"
"Axi N4 Intact","24","Online"
"Fortuna Scene","24","Offline"
"Lith O2 Radiant","24","Online"
"Lith V1 Radiant","24","Offline"
"Reflex Draw","24","Online"
"Hikou Prime Pouch","24","Online"
"Axi V1 Intact","24","Online"
"Itzal Wings","24","Online"
"Broken War Hilt","24","Online"
"Charged Bullets","24","Online"
"Vaykor Marelok","24","Online"
"Mesa Prime Systems","24","Online"
"Cautious Shot","24","Online"
"Apex Predator","24","Offline"
"Trinity Prime Neuroptics","24","Online"
"Meso S5 Radiant","24","Offline"
"Axi H3 Radiant","24","Offline"
"Arcane Aegis","24","Online"
"Dera Vandal Set","24","Online"
"Scimitar Engines","24","Online"
"Meso Z2 Radiant","24","Online"
"Neo S10 Radiant","24","Offline"
"Ash Prime Systems","24","Online"
"Contamination Casing","24","Online"
"Synoid Simulor","24","Online"
"Volt Prime Systems","24","Online"
"Elytron Systems","24","Online"
"Meso S6 Radiant","24","Offline"
"Meso V4 Radiant","24","Offline"
"Axi T1 Radiant","24","Offline"
"Meso B2 Radiant","24","Offline"
"Neo Z5 Exceptional","24","Offline"
"Axi V5 Radiant","24","Offline"
"Axi A9 Radiant","24","Online"
"Tether","24","Online"
"Axi H2 Radiant","24","Offline"
"Particle Ram","24","Online"
"Silva & Aegis Prime Guard","24","Online"
"Aksomati Prime Receiver","24","Online"
"Form Up","24","Online"
"Axi G3 Radiant","24","Offline"
"Lith G2 Intact","24","Online"
"Neo V8 Intact","24","Online"
"Axi A4 Radiant","24","Offline"
"Lith M1 Radiant","24","Offline"
"Meso F1 Intact","24","Online"
"Predator (Lavan)","24","Online"
"Quellor Blueprint","24","Online"
"Meso C4 Radiant","24","Offline"
"Rubico Prime Set","24","Online"
"Meso D2 Radiant","23","Offline"
"Acid Shells","23","Online"
"Dead Eye","23","Online"
"Meso T3 Radiant","23","Offline"
"Spring-Loaded Broadhead","23","Online"
"Arcane Barrier","23","Online"
"Cyclone Kraken","23","Online"
"Ivara Prime Blueprint","23","Online"
"Meso S9 Radiant","23","Offline"
